oa_code,rnk,appliance_callsign,drive_time
E00075894,1,KV49P1,3.34
E00075895,1,KV49P1,2.42
E00075896,1,KV49P1,1.85
E00075897,1,KV49P1,1.43
E00075898,1,KV49P1,2.16
E00075899,1,KV49P1,2.83
E00075900,1,KV49P1,1.82
E00075901,1,KV49P1,3.36
E00075902,1,KV49P1,2.17
E00075903,1,KV49P1,2.23
E00075904,1,KV49P1,1.24
E00075905,1,KV49P1,2.36
E00075906,1,KV49P1,2.07
E00075907,1,KV49P1,1.39
E00075908,1,KV49P1,1.65
E00075910,1,KV49P1,0.76
E00075911,1,KV49P1,1.46
E00075912,1,KV49P1,0.86
E00075913,1,KV49P1,0.86
E00075914,1,KV49P1,4.44
E00075915,1,KV49P1,3.96
E00075916,1,KV49P1,4.22
E00075917,1,KV49P1,2.96
E00075918,1,KV49P1,2.66
E00075919,1,KV49P1,2.59
E00075920,1,KV49P1,3.06
E00075921,1,KV49P1,2.29
E00075922,1,KV49P1,3.48
E00075923,1,KV49P1,3.18
E00075924,1,KV49P1,2.94
E00075925,1,KV49P1,2.23
E00075926,1,KV49P1,2.02
E00075927,1,KV49P1,3.01
E00075928,1,KV49P1,3.25
E00075929,1,KV49P1,2.42
E00075930,1,KV49P1,3.3
E00075931,1,KV49P1,2.89
E00075932,1,KV49P1,2.64
E00075933,1,KV49P1,1.32
E00075934,1,KV49P1,2.47
E00075935,1,KV49P1,2.42
E00075936,1,KV49P1,3.3
E00075937,1,KV50P2,1.86
E00075938,1,KV49P1,2.76
E00075939,1,KV49P1,2.38
E00075940,1,KV50P2,2.66
E00075941,1,KV50P2,2.45
E00075942,1,KV50P2,1.9
E00075943,1,KV50P2,1.68
E00075944,1,KV50P2,1.2
E00075945,1,KV50P2,1.56
E00075946,1,KV50P2,1.74
E00075947,1,KV50P2,1.17
E00075948,1,KV50P1,0.86
E00075949,1,KV50P1,0.71
E00075950,1,KV50P2,1.17
E00075951,1,KV50P1,1.0
E00075952,1,KV50P2,1.14
E00075953,1,KV50P1,1.08
E00075954,1,KV50P1,0.45
E00075955,1,KV50P1,0.8
E00075956,1,KV49P1,2.1
E00075957,1,KV49P1,2.54
E00075958,1,KV49P1,1.99
E00075959,1,KV50P2,2.71
E00075960,1,KV50P2,3.4
E00075961,1,KV50P2,2.16
E00075962,1,KV49P1,2.57
E00075963,1,KV50P2,4.05
E00075964,1,KV50P2,3.81
E00075965,1,KV50P2,2.53
E00075966,1,KV50P2,2.98
E00075967,1,KV50P2,1.94
E00075968,1,KV50P2,3.18
E00075969,1,KV50P2,3.2
E00075970,1,KV50P2,2.29
E00075971,1,KV50P2,1.59
E00075972,1,KV50P2,2.04
E00075973,1,KV50P2,2.75
E00075974,1,KV50P2,1.87
E00075975,1,KV50P2,2.47
E00075976,1,KV48P1,2.84
E00075977,1,KV48P1,2.45
E00075978,1,KV48P1,3.43
E00075979,1,KV48P1,3.44
E00075980,1,KV48P1,3.74
E00075981,1,KV50P2,3.66
E00075982,1,KV48P1,4.35
E00075983,1,KV48P1,3.91
E00075984,1,KV48P1,4.26
E00075985,1,KV48P1,3.83
E00075986,1,KV50P2,4.08
E00075987,1,KV50P2,3.96
E00075988,1,KV50P2,4.39
E00075989,1,KV50P2,4.36
E00075991,1,KV50P2,3.92
E00075993,1,KV50P2,4.19
E00075994,1,KV50P2,4.44
E00075995,1,KV48P1,0.37
E00075996,1,KV48P1,0.96
E00075997,1,KV48P1,0.75
E00075998,1,KV48P1,1.33
E00075999,1,KV48P1,1.89
E00076000,1,KV48P1,1.01
E00076001,1,KV48P1,1.59
E00076002,1,KV48P1,1.21
E00076003,1,KV48P1,1.41
E00076004,1,KV48P1,1.09
E00076005,1,KV48P1,1.66
E00076006,1,KV48P1,1.77
E00076007,1,KV48P1,1.65
E00076008,1,KV48P1,1.65
E00076009,1,KV48P1,1.68
E00076010,1,KV48P1,2.03
E00076011,1,KV48P1,1.93
E00076012,1,KV48P1,2.01
E00076013,1,KV48P1,1.47
E00076014,1,KV48P1,2.5
E00076015,1,KV48P1,2.28
E00076016,1,KV48P1,2.48
E00076017,1,KV48P1,2.74
E00076018,1,KV48P1,2.84
E00076019,1,KV48P1,2.58
E00076020,1,KV48P1,2.83
E00076021,1,KV48P1,2.82
E00076022,1,KV48P1,3.16
E00076023,1,KV48P1,2.51
E00076024,1,KV48P1,3.08
E00076025,1,KV48P1,3.48
E00076026,1,KV48P1,3.95
E00076027,1,KV50P1,0.75
E00076028,1,KV50P1,0.87
E00076029,1,KV50P1,0.67
E00076030,1,KV50P2,1.15
E00076031,1,KV50P2,1.18
E00076032,1,KV50P2,1.32
E00076033,1,KV50P1,0.77
E00076034,1,KV50P1,0.77
E00076035,1,KV50P1,0.37
E00076036,1,KV50P2,1.1
E00076037,1,KV50P1,0.64
E00076038,1,KV50P1,0.65
E00076039,1,KV50P1,0.68
E00076040,1,KV50P1,0.78
E00076041,1,KV50P1,0.78
E00076042,1,KV50P1,0.16
E00076043,1,KV50P1,0.88
E00076044,1,KV50P2,1.14
E00076045,1,KV50P1,0.74
E00076047,1,KV50P1,0.49
E00076048,1,KV50P1,0.42
E00076050,1,KV50P1,0.87
E00076051,1,KV50P2,1.15
E00076052,1,KV50P1,0.5
E00076053,1,KV50P2,3.65
E00076054,1,KV50P2,2.53
E00076055,1,KV50P2,2.75
E00076056,1,KV50P2,3.72
E00076057,1,KV50P2,2.36
E00076058,1,KV50P2,4.03
E00076059,1,KV50P2,3.04
E00076060,1,KV50P2,2.04
E00076061,1,KV50P2,2.28
E00076062,1,KV50P2,2.38
E00076063,1,KV50P2,3.15
E00076064,1,KV50P2,2.25
E00076065,1,KV50P2,2.82
E00076066,1,KV50P2,1.43
E00076067,1,KV50P2,1.98
E00076068,1,KV50P2,1.88
E00076069,1,KV50P2,2.77
E00076070,1,KV50P2,2.31
E00076071,1,KV50P2,2.09
E00076072,1,KV50P2,1.87
E00076073,1,KV50P1,1.01
E00076074,1,KV50P1,1.02
E00076075,1,KV50P1,0.6
E00076076,1,KV50P1,0.77
E00076077,1,KV50P1,0.41
E00076078,1,KV50P1,0.47
E00076079,1,KV50P2,1.35
E00076080,1,KV50P1,0.95
E00076081,1,KV50P1,0.31
E00076082,1,KV50P1,0.7
E00076083,1,KV50P1,0.39
E00076084,1,KV49P1,4.21
E00076085,1,KV49P1,3.78
E00076086,1,KV49P1,4.28
E00076087,1,KV50P2,4.03
E00076088,1,KV49P1,4.48
E00076089,1,KV50P2,3.23
E00076090,1,KV50P2,3.1
E00076091,1,KV50P2,2.71
E00076092,1,KV50P2,3.55
E00076093,1,KV50P2,2.65
E00076094,1,KV50P2,2.44
E00076095,1,KV50P2,2.44
E00076096,1,KV50P2,3.46
E00076097,1,KV50P2,1.73
E00076099,1,KV49P1,2.89
E00076100,1,KV49P1,2.64
E00076101,1,KV49P1,0.33
E00076102,1,KV49P1,1.86
E00076103,1,KV49P1,2.16
E00076104,1,KV49P1,3.95
E00076105,1,KV49P1,2.17
E00076106,1,KV49P1,1.79
E00076107,1,KV49P1,3.43
E00076108,1,KV49P1,2.57
E00076109,1,KV49P1,3.74
E00076110,1,KV49P1,2.99
E00076111,1,KV49P1,3.24
E00076112,1,KV49P1,2.98
E00076113,1,KV49P1,3.29
E00076114,1,KV49P1,2.81
E00076115,1,KV49P1,2.87
E00076116,1,KV49P1,3.42
E00076117,1,KV49P1,3.36
E00076118,1,KV49P1,0.42
E00076119,1,KV49P1,0.54
E00076120,1,KV49P1,0.55
E00076122,1,KV49P1,1.83
E00076123,1,KV49P1,0.51
E00076124,1,KV49P1,2.63
E00076125,1,KV49P1,1.19
E00076126,1,KV49P1,1.31
E00076127,1,KV49P1,1.44
E00076128,1,KV49P1,3.14
E00076129,1,KV49P1,1.0
E00076130,1,KV49P1,1.56
E00076131,1,KV49P1,2.04
E00076132,1,KV49P1,2.01
E00076133,1,KV49P1,2.13
E00076134,1,KV49P1,2.14
E00076135,1,KV49P1,3.01
E00076136,1,KV49P1,1.43
E00076137,1,KV49P1,1.47
E00076138,1,KV49P1,1.72
E00076139,1,KV49P1,2.02
E00076140,1,KV49P1,3.14
E00076141,1,KV49P1,2.89
E00076142,1,KV48P1,2.05
E00076143,1,KV48P1,1.14
E00076144,1,KV48P1,2.05
E00076145,1,KV48P1,1.55
E00076146,1,KV48P1,0.77
E00076147,1,KV48P1,0.96
E00076148,1,KV48P1,0.55
E00076149,1,KV48P1,0.72
E00076150,1,KV49P1,3.14
E00076151,1,KV49P1,3.15
E00076152,1,KV49P1,2.67
E00076153,1,KV48P1,1.39
E00076154,1,KV48P1,0.39
E00076155,1,KV49P1,3.15
E00076156,1,KV49P1,3.58
E00076157,1,KV49P1,2.27
E00076158,1,KV48P1,1.88
E00076159,1,KV48P1,0.4
E00076160,1,KV48P1,0.36
E00076161,1,KV48P1,2.06
E00076162,1,KV48P1,1.61
E00076163,1,KV48P1,1.58
E00076164,1,KV48P1,2.25
E00076165,1,KV49P1,2.0
E00076166,1,KV49P1,2.68
E00076167,1,KV48P1,0.77
E00076168,1,KV48P1,1.97
E00076169,1,KV48P1,1.17
E00076170,1,KV48P1,1.19
E00076171,1,KV48P1,1.86
E00076172,1,KV48P1,0.42
E00076173,1,KV48P1,1.09
E00076174,1,KV48P1,2.16
E00076175,1,KV48P1,0.78
E00076176,1,KV48P1,1.19
E00076177,1,KV48P1,1.73
E00076178,1,KV48P1,1.56
E00076179,1,KV48P1,1.11
E00076180,1,KV48P1,1.11
E00076181,1,KV48P1,1.85
E00076182,1,KV48P1,1.54
E00076183,1,KV48P1,1.37
E00076184,1,KV48P1,2.7
E00076185,1,KV49P1,1.21
E00076186,1,KV49P1,1.47
E00076187,1,KV49P1,2.85
E00076188,1,KV49P1,2.38
E00076189,1,KV49P1,2.61
E00076190,1,KV49P1,2.28
E00076191,1,KV49P1,0.84
E00076192,1,KV49P1,1.79
E00076193,1,KV49P1,2.48
E00076194,1,KV49P1,1.82
E00076195,1,KV49P1,1.02
